[1766519707.970]  [TASK: RS1_TiltLargeStepProcess.yml][NAME: TiltLargeStepNegDir_CommandStatus_0][VAL:OK ]
[1766519707.970]  [TASK: RS1_TiltLargeStepProcess.yml][NAME: TiltLargeStepNegDir_CommandSystemTime_0][VAL:1766519499 ]
[1766519707.979]  [TASK: RS1_TiltLargeStepProcess.yml][NAME: TiltLargeStepPosDir_MaxVinst_0][VAL:0.061302 ]
[1766519707.979]  [TASK: RS1_TiltLargeStepProcess.yml][NAME: TiltLargeStepPosDir_MaxVinstStatus_0][VAL:OK ]
[1766519707.979]  [TASK: RS1_TiltLargeStepProcess.yml][NAME: TiltLargeStepPosDir_MaxVinstSystemTime_0][VAL:1.12 ]
[1766519707.981]  [TASK: RS1_TiltLargeStepProcess.yml][NAME: TiltLargeStepPosDir_Command_0][VAL:35.00 ]
[1766519707.981]  [TASK: RS1_TiltLargeStepProcess.yml][NAME: TiltLargeStepPosDir_CommandDelayTime_0][VAL:0.11 ]
[1766519707.981]  [TASK: RS1_TiltLargeStepProcess.yml][NAME: TiltLargeStepPosDir_CommandStatus_0][VAL:OK ]
[1766519707.981]  [TASK: RS1_TiltLargeStepProcess.yml][NAME: TiltLargeStepPosDir_CommandSystemTime_0][VAL:1766519477 ]
[1766519708.047]  [TASK: RS1_ReachLargeStepProcess.yml][NAME: ReachLargeStepNegDir_MaxVinst_0][VAL:-192.986502 ]
[1766519708.048]  [TASK: RS1_ReachLargeStepProcess.yml][NAME: ReachLargeStepNegDir_MaxVinstStatus_0][VAL:OK ]
[1766519708.048]  [TASK: RS1_ReachLargeStepProcess.yml][NAME: ReachLargeStepNegDir_MaxVinstSystemTime_0][VAL:3.59 ]
[1766519708.051]  [TASK: RS1_ReachLargeStepProcess.yml][NAME: ReachLargeStepNegDir_Command_0][VAL:-10.00 ]
[1766519708.051]  [TASK: RS1_ReachLargeStepProcess.yml][NAME: ReachLargeStepNegDir_CommandDelayTime_0][VAL:0.22 ]
[1766519708.051]  [TASK: RS1_ReachLargeStepProcess.yml][NAME: ReachLargeStepNegDir_CommandStatus_0][VAL:OK ]
[1766519708.051]  [TASK: RS1_ReachLargeStepProcess.yml][NAME: ReachLargeStepNegDir_CommandSystemTime_0][VAL:1766519565 ]
[1766519708.078]  [TASK: RS1_ReachLargeStepProcess.yml][NAME: ReachLargeStepPosDir_MaxVinst_0][VAL:192.867095 ]
[1766519708.078]  [TASK: RS1_ReachLargeStepProcess.yml][NAME: ReachLargeStepPosDir_MaxVinstStatus_0][VAL:OK ]
[1766519708.078]  [TASK: RS1_ReachLargeStepProcess.yml][NAME: ReachLargeStepPosDir_MaxVinstSystemTime_0][VAL:2.13 ]
[1766519708.081]  [TASK: RS1_ReachLargeStepProcess.yml][NAME: ReachLargeStepPosDir_Command_0][VAL:15.77 ]
