,NAME,MEAN,MAX,MIN,STDV,VAL
46,TiltLargeStepNegDir_CommandSystemTime,1766519499.00,1766519499.00,1766519499.00,0.00,[1766519499.0]
40,TiltLargeStepNegDir_MaxVinst,-0.060494,-0.060494,-0.060494,0.000000,[-0.060494]
41,TiltLargeStepNegDir_MaxVinstStatus,_,_,_,_,['OK ']
42,TiltLargeStepNegDir_MaxVinstSystemTime,1.23,1.23,1.23,0.00,[1.23]
5,TiltLargeStepNegDir_Overshoot,0.000930,0.000930,0.000930,0.000000,[0.00093]
4,TiltLargeStepPosDirOvershoot,-0.001420,-0.001420,-0.001420,0.000000,[-0.00142]
50,TiltLargeStepPosDir_Command,35.000000,35.000000,35.000000,0.000000,[35.0]
51,TiltLargeStepPosDir_CommandDelayTime,0.11,0.11,0.11,0.00,[0.11]
52,TiltLargeStepPosDir_CommandStatus,_,_,_,_,['OK ']
53,TiltLargeStepPosDir_CommandSystemTime,1766519477.00,1766519477.00,1766519477.00,0.00,[1766519477.0]
47,TiltLargeStepPosDir_MaxVinst,0.061302,0.061302,0.061302,0.000000,[0.061302]
48,TiltLargeStepPosDir_MaxVinstStatus,_,_,_,_,['OK ']
49,TiltLargeStepPosDir_MaxVinstSystemTime,1.12,1.12,1.12,0.00,[1.12]
